date,precipitation_sum,cloud_cover_mean
2024-05-02 00:00:00+00:00,0.0,17.958334
2024-05-03 00:00:00+00:00,1.6,50.291668
2024-05-04 00:00:00+00:00,0.0,80.791664
2024-05-05 00:00:00+00:00,8.699999,74.625
2024-05-06 00:00:00+00:00,0.0,83.375
2024-05-07 00:00:00+00:00,0.3,99.041664
2024-05-08 00:00:00+00:00,0.0,63.75
2024-05-09 00:00:00+00:00,0.0,43.583332
2024-05-10 00:00:00+00:00,0.0,81.416664
2024-05-11 00:00:00+00:00,0.3,77.083336
2024-05-12 00:00:00+00:00,0.0,33.583332
2024-05-13 00:00:00+00:00,0.0,16.958334
2024-05-14 00:00:00+00:00,0.0,1.1666666
2024-05-15 00:00:00+00:00,0.0,22.708334
2024-05-16 00:00:00+00:00,0.0,54.083332
2024-05-17 00:00:00+00:00,0.0,49.458332
2024-05-18 00:00:00+00:00,0.4,37.791668
2024-05-19 00:00:00+00:00,10.900001,51.625
2024-05-20 00:00:00+00:00,11.9,43.916668
2024-05-21 00:00:00+00:00,0.2,63.208332
2024-05-22 00:00:00+00:00,11.8,86.208336
2024-05-23 00:00:00+00:00,1.5000001,75.958336
2024-05-24 00:00:00+00:00,9.7,85.416664
2024-05-25 00:00:00+00:00,5.9999995,74.916664
2024-05-26 00:00:00+00:00,0.2,61.583332
2024-05-27 00:00:00+00:00,9.4,99.666664
2024-05-28 00:00:00+00:00,10.599999,75.75
2024-05-29 00:00:00+00:00,0.2,74.125
2024-05-30 00:00:00+00:00,9.700001,77.541664
2024-05-31 00:00:00+00:00,0.1,70.25
2024-06-01 00:00:00+00:00,0.4,45.833332
2024-06-02 00:00:00+00:00,9.200001,73.166664
2024-06-03 00:00:00+00:00,0.2,88.583336
2024-06-04 00:00:00+00:00,0.3,79.583336
2024-06-05 00:00:00+00:00,2.3000002,70.916664
2024-06-06 00:00:00+00:00,0.0,52.833332
2024-06-07 00:00:00+00:00,0.2,38.083332
2024-06-08 00:00:00+00:00,0.0,49.666668
2024-06-09 00:00:00+00:00,0.0,27.458334
2024-06-10 00:00:00+00:00,2.4,65.875
2024-06-11 00:00:00+00:00,2.2,45.583332
2024-06-12 00:00:00+00:00,0.3,23.666666
2024-06-13 00:00:00+00:00,0.4,45.666668
2024-06-14 00:00:00+00:00,1.1,89.583336
2024-06-15 00:00:00+00:00,2.7999997,70.25
2024-06-16 00:00:00+00:00,0.3,61.75
2024-06-17 00:00:00+00:00,1.8000001,71.541664
2024-06-18 00:00:00+00:00,5.7999997,73.958336
2024-06-19 00:00:00+00:00,1.9000001,74.291664
2024-06-20 00:00:00+00:00,0.0,79.083336
2024-06-21 00:00:00+00:00,5.4999995,79.375
2024-06-22 00:00:00+00:00,3.5999997,64.833336
2024-06-23 00:00:00+00:00,0.0,49.583332
2024-06-24 00:00:00+00:00,0.1,48.75
2024-06-25 00:00:00+00:00,0.0,41.041668
2024-06-26 00:00:00+00:00,0.0,21.916666
2024-06-27 00:00:00+00:00,13.099999,76.708336
2024-06-28 00:00:00+00:00,4.0,33.75
2024-06-29 00:00:00+00:00,0.3,36.208332
2024-06-30 00:00:00+00:00,6.799999,80.916664
2024-07-01 00:00:00+00:00,7.9,87.125
2024-07-02 00:00:00+00:00,0.70000005,74.75
2024-07-03 00:00:00+00:00,0.4,89.5
2024-07-04 00:00:00+00:00,2.6000001,68.5
2024-07-05 00:00:00+00:00,0.0,63.625
2024-07-06 00:00:00+00:00,0.1,70.541664
2024-07-07 00:00:00+00:00,0.0,88.75
2024-07-08 00:00:00+00:00,0.0,67.833336
2024-07-09 00:00:00+00:00,0.0,52.5
2024-07-10 00:00:00+00:00,2.2000003,77.375
2024-07-11 00:00:00+00:00,6.6999993,53.0
2024-07-12 00:00:00+00:00,2.4999998,84.333336
2024-07-13 00:00:00+00:00,3.1,57.375
2024-07-14 00:00:00+00:00,1.5000001,47.083332
2024-07-15 00:00:00+00:00,0.0,40.875
2024-07-16 00:00:00+00:00,1.3000001,62.458332
2024-07-17 00:00:00+00:00,0.1,50.791668
2024-07-18 00:00:00+00:00,0.0,48.916668
2024-07-19 00:00:00+00:00,0.0,47.458332
2024-07-20 00:00:00+00:00,0.0,57.958332
2024-07-21 00:00:00+00:00,0.8,35.666668
2024-07-22 00:00:00+00:00,1.4000001,54.916668
2024-07-23 00:00:00+00:00,2.1,41.791668
2024-07-24 00:00:00+00:00,0.90000004,61.291668
2024-07-25 00:00:00+00:00,0.0,52.625
2024-07-26 00:00:00+00:00,0.8,78.125
2024-07-27 00:00:00+00:00,10.800002,100.0
2024-07-28 00:00:00+00:00,12.8,53.25
2024-07-29 00:00:00+00:00,0.0,23.375
2024-07-30 00:00:00+00:00,0.0,19.25
2024-07-31 00:00:00+00:00,0.0,74.916664
2024-08-01 00:00:00+00:00,0.0,47.541668
2024-08-02 00:00:00+00:00,0.0,89.625
2024-08-03 00:00:00+00:00,0.0,49.833332
2024-08-04 00:00:00+00:00,7.5,91.958336
2024-08-05 00:00:00+00:00,0.1,60.833332
2024-08-06 00:00:00+00:00,0.0,25.916666
2024-08-07 00:00:00+00:00,0.0,68.458336
2024-08-08 00:00:00+00:00,0.5,59.708332
2024-08-09 00:00:00+00:00,3.1,85.125
2024-08-10 00:00:00+00:00,0.0,35.666668
2024-08-11 00:00:00+00:00,0.0,60.416668
2024-08-12 00:00:00+00:00,0.0,10.041667
2024-08-13 00:00:00+00:00,0.0,30.833334
2024-08-14 00:00:00+00:00,1.6,77.333336
2024-08-15 00:00:00+00:00,2.1,21.208334
2024-08-16 00:00:00+00:00,0.0,27.458334
2024-08-17 00:00:00+00:00,0.0,67.416664
2024-08-18 00:00:00+00:00,0.1,86.708336
2024-08-19 00:00:00+00:00,0.0,78.291664
2024-08-20 00:00:00+00:00,0.2,25.541666
2024-08-21 00:00:00+00:00,0.70000005,48.416668
2024-08-22 00:00:00+00:00,0.0,85.708336
2024-08-23 00:00:00+00:00,0.0,83.25
2024-08-24 00:00:00+00:00,0.0,6.875
2024-08-25 00:00:00+00:00,0.0,77.083336
2024-08-26 00:00:00+00:00,0.0,67.125
2024-08-27 00:00:00+00:00,0.0,1.5833334
2024-08-28 00:00:00+00:00,0.0,0.45833334
2024-08-29 00:00:00+00:00,0.0,26.125
2024-08-30 00:00:00+00:00,2.4,84.333336
2024-08-31 00:00:00+00:00,0.0,80.333336
2024-09-01 00:00:00+00:00,0.8,70.583336
2024-09-02 00:00:00+00:00,0.0,77.458336
2024-09-03 00:00:00+00:00,0.1,39.833332
2024-09-04 00:00:00+00:00,0.0,8.708333
2024-09-05 00:00:00+00:00,0.0,1.375
2024-09-06 00:00:00+00:00,0.0,4.25
2024-09-07 00:00:00+00:00,0.0,38.833332
2024-09-08 00:00:00+00:00,0.0,52.791668
2024-09-09 00:00:00+00:00,7.5,82.083336
2024-09-10 00:00:00+00:00,0.1,72.708336
2024-09-11 00:00:00+00:00,0.5,98.833336
2024-09-12 00:00:00+00:00,0.2,95.833336
2024-09-13 00:00:00+00:00,7.0000005,100.0
2024-09-14 00:00:00+00:00,1.0,54.791668
2024-09-15 00:00:00+00:00,0.0,46.541668
2024-09-16 00:00:00+00:00,6.5,88.0
2024-09-17 00:00:00+00:00,0.0,2.375
2024-09-18 00:00:00+00:00,0.0,21.166666
2024-09-19 00:00:00+00:00,0.1,19.291666
2024-09-20 00:00:00+00:00,0.0,0.9166667
2024-09-21 00:00:00+00:00,0.0,2.25
2024-09-22 00:00:00+00:00,0.0,7.75
2024-09-23 00:00:00+00:00,0.0,80.791664
2024-09-24 00:00:00+00:00,11.6,70.125
2024-09-25 00:00:00+00:00,2.6999998,86.958336
2024-09-26 00:00:00+00:00,4.9,99.916664
2024-09-27 00:00:00+00:00,1.0,35.541668
2024-09-28 00:00:00+00:00,0.4,31.25
2024-09-29 00:00:00+00:00,0.0,22.458334
2024-09-30 00:00:00+00:00,0.0,66.25
2024-10-01 00:00:00+00:00,12.200001,97.916664
2024-10-02 00:00:00+00:00,5.7,96.75
2024-10-03 00:00:00+00:00,4.3999996,72.958336
2024-10-04 00:00:00+00:00,0.8,57.583332
2024-10-05 00:00:00+00:00,0.1,75.875
2024-10-06 00:00:00+00:00,0.0,66.291664
2024-10-07 00:00:00+00:00,0.1,67.375
2024-10-08 00:00:00+00:00,5.0,81.791664
2024-10-09 00:00:00+00:00,9.0,90.5
2024-10-10 00:00:00+00:00,2.6999998,64.208336
2024-10-11 00:00:00+00:00,0.2,19.541666
2024-10-12 00:00:00+00:00,0.0,50.125
2024-10-13 00:00:00+00:00,3.6999993,65.791664
2024-10-14 00:00:00+00:00,0.6,80.833336
2024-10-15 00:00:00+00:00,0.0,29.541666
2024-10-16 00:00:00+00:00,0.0,50.125
2024-10-17 00:00:00+00:00,0.0,57.583332
2024-10-18 00:00:00+00:00,0.0,80.25
2024-10-19 00:00:00+00:00,0.0,88.0
2024-10-20 00:00:00+00:00,0.0,91.833336
2024-10-21 00:00:00+00:00,3.1,96.375
2024-10-22 00:00:00+00:00,0.0,56.916668
2024-10-23 00:00:00+00:00,0.0,23.166666
2024-10-24 00:00:00+00:00,0.0,59.458332
2024-10-25 00:00:00+00:00,0.0,2.5416667
2024-10-26 00:00:00+00:00,0.0,43.541668
2024-10-27 00:00:00+00:00,0.1,44.583332
2024-10-28 00:00:00+00:00,0.6,86.333336
2024-10-29 00:00:00+00:00,0.4,98.875
2024-10-30 00:00:00+00:00,0.0,98.041664
2024-10-31 00:00:00+00:00,0.0,95.958336
2024-11-01 00:00:00+00:00,0.0,81.958336
2024-11-02 00:00:00+00:00,0.3,67.291664
2024-11-03 00:00:00+00:00,0.0,85.125
2024-11-04 00:00:00+00:00,0.0,99.0
2024-11-05 00:00:00+00:00,0.0,71.791664
2024-11-06 00:00:00+00:00,0.0,100.0
2024-11-07 00:00:00+00:00,0.0,99.916664
2024-11-08 00:00:00+00:00,0.0,78.666664
2024-11-09 00:00:00+00:00,0.0,74.583336
2024-11-10 00:00:00+00:00,0.0,98.375
2024-11-11 00:00:00+00:00,0.4,93.333336
2024-11-12 00:00:00+00:00,0.1,98.625
2024-11-13 00:00:00+00:00,0.6,81.583336
2024-11-14 00:00:00+00:00,0.3,94.791664
2024-11-15 00:00:00+00:00,0.1,99.625
2024-11-16 00:00:00+00:00,0.0,65.541664
2024-11-17 00:00:00+00:00,3.6999996,88.708336
2024-11-18 00:00:00+00:00,0.70000005,64.791664
2024-11-19 00:00:00+00:00,26.3,99.25
2024-11-20 00:00:00+00:00,0.6,96.333336
2024-11-21 00:00:00+00:00,0.4,69.958336
2024-11-22 00:00:00+00:00,0.3,96.416664
2024-11-23 00:00:00+00:00,0.1,82.958336
2024-11-24 00:00:00+00:00,11.400001,99.875
2024-11-25 00:00:00+00:00,0.0,88.208336
2024-11-26 00:00:00+00:00,1.9,59.791668
2024-11-27 00:00:00+00:00,3.6,72.625
2024-11-28 00:00:00+00:00,9.200001,91.416664
2024-11-29 00:00:00+00:00,0.1,72.041664
2024-11-30 00:00:00+00:00,0.0,60.0
2024-12-01 00:00:00+00:00,0.0,0.7083333
2024-12-02 00:00:00+00:00,0.0,71.666664
2024-12-03 00:00:00+00:00,1.3000001,99.333336
2024-12-04 00:00:00+00:00,0.2,95.875
2024-12-05 00:00:00+00:00,0.1,92.875
2024-12-06 00:00:00+00:00,9.400001,80.416664
2024-12-07 00:00:00+00:00,3.1000001,100.0
2024-12-08 00:00:00+00:00,1.6000001,100.0
2024-12-09 00:00:00+00:00,2.1,100.0
2024-12-10 00:00:00+00:00,0.1,100.0
2024-12-11 00:00:00+00:00,0.0,97.416664
2024-12-12 00:00:00+00:00,0.0,91.166664
2024-12-13 00:00:00+00:00,0.0,73.833336
2024-12-14 00:00:00+00:00,1.4000001,86.291664
2024-12-15 00:00:00+00:00,2.9999998,100.0
2024-12-16 00:00:00+00:00,1.2000002,100.0
2024-12-17 00:00:00+00:00,0.3,96.875
2024-12-18 00:00:00+00:00,0.70000005,95.0
2024-12-19 00:00:00+00:00,4.4,97.875
2024-12-20 00:00:00+00:00,0.2,50.416668
2024-12-21 00:00:00+00:00,1.7,97.791664
2024-12-22 00:00:00+00:00,3.7,87.083336
2024-12-23 00:00:00+00:00,2.0,97.041664
2024-12-24 00:00:00+00:00,0.0,93.333336
2024-12-25 00:00:00+00:00,0.2,75.375
2024-12-26 00:00:00+00:00,0.5,100.0
2024-12-27 00:00:00+00:00,0.0,96.25
2024-12-28 00:00:00+00:00,0.0,89.208336
2024-12-29 00:00:00+00:00,0.0,66.291664
2024-12-30 00:00:00+00:00,0.0,95.708336
2024-12-31 00:00:00+00:00,0.0,66.791664
